[2026-06-01 15:22:12] 开始执行论文搜索任务
搜索关键词: verification
搜索日期范围: 2026-05-31
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605310000+TO+202605312359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-6-1 | MigMate: A VS Code Extension for LLM-based Library Migration of Python Projects
[ACM] 2026-6-1 | Reproducibility of LLM-based Recommender Systems Research: Worrying Observations from an Initial Analysis
[ACM] 2026-6-1 | Evaluating the Role of Context Representations in the Behavioral Fidelity of LLM-based Personas for Food Preferences
[ACM] 2026-6-1 | Personalizing Font Size Normalization: Linguistic Background Shapes Which Font Attributes Matter
[ACM] 2026-6-1 | GMAP 2026: 5th Workshop on Group Modeling, Adaptation and Personalization
[ACM] 2026-6-1 | Leveraging Artist Catalogs for Cold-Start Music Recommendation
[ACM] 2026-6-1 | Using Anti-Personas to Model Children: How to Represent User-System Mismatches
[ACM] 2026-6-1 | Student Web Search Behaviour: A Comparative Study of AI-Assisted and Traditional Search Styles and Performance
[ACM] 2026-6-1 | How Humans and LLMs Differ in Processing Uncertainty in Polarized Discourse
[ACM] 2026-6-1 | Productively Wrong: How Auditing Open Profiles Enhances Interest Awareness and Reflection in Movie Recommenders
[ACM] 2026-6-1 | User-Conditioned Personalized Side-Information in Sequential Recommendation
[ACM] 2026-6-1 | Trustworthy and Adaptive LLMs for Mental and Physical Wellbeing in Recommendations
[ACM] 2026-6-1 | CNnotator: LLM-Guided Memory Safety Annotation Synthesis
[ACM] 2026-6-1 | Beyond Accuracy: Characterizing Code Comprehension Capabilities in (Large) Language Models
[ACM] 2026-6-1 | Evaluating Persona Consistency and Emotion Understanding in Small Language Models
[ACM] 2026-6-1 | DestiRec: User Interaction with a Travel Destination Recommender System
[ACM] 2026-6-1 | The 14th International Workshop on News Recommendation and Analytics (INRA 2026)
[ACM] 2026-6-1 | On the Role of Dwell Time for Implicitly Profiling Museum Visitors
[ACM] 2026-6-1 | Towards An Agentic Conversational Approach to Group Recommender Systems
[ACM] 2026-6-1 | WikiCoach: Scaffolding Learning for Novices in Online Apprenticeship Communities
[ACM] 2026-6-1 | Sustained Impact of Agentic Personalisation in Marketing
[ACM] 2026-6-1 | Cross-Domain Cold-Start Personalization via LLM-Synthesized Structured User Profiles
[ACM] 2026-6-1 | Which Individual Differences Predict Success at an LLM-integrated Search Task?*
[ACM] 2026-6-1 | When Many-Shot Prompting Fails: An Empirical Study of LLM Code Translation
[ACM] 2026-6-1 | Using AI as a Chef: Users Overlook Nutritional Flaws in LLM-Generated Recipes
[ACM] 2026-6-1 | Trust as a Situated User State in Social LLM-Based Chatbots
[ACM] 2026-6-1 | Studying Longitudinal Effects of Recommender Systems: A Multi-Method Approach
[ACM] 2026-6-1 | Exploring the Latitude of Acceptance over Several Recommendation Turns in a Game Setting
[ACM] 2026-6-1 | Instructor-Centered Per-Question Adaptation for Short Answer Grading Using LLM Scores and Informative Sampling
[ACM] 2026-6-1 | Participatory Elicitation of User Model Dimensions for Active Ageing: The EMERGE Methodology
[ACM] 2026-6-1 | Towards a Stakeholder-Centered Auditing Framework for Assessing Fairness in (Music) Recommender Systems
[ACM] 2026-6-1 | Evaluating Vibrotactile Feedback: Usability and User Experience in Glove vs. Non-Glove Conditions
[ACM] 2026-6-1 | ATLAS: Adaptive Test Learning And Selection at the DeepTest 2026 Tool Competition
[ACM] 2026-6-1 | FIRE: A Modular Framework for Prototyping and Evaluating Interactive Recommender Explanations
[ACM] 2026-6-1 | A Context-Aware Cultural Heritage Guide Powered by LLMs
[ACM] 2026-6-1 | Raising the Stakes: Assessing the Influence of Stakes on User Reliance Behavior in Human-AI Decision-Making
[ACM] 2026-6-1 | DUPLet: Dynamic User Modeling for Personalized Cover Letter Generation
[ACM] 2026-6-1 | Multi-Objective Candidate Generation for Reciprocal Recommendation at Hinge
